https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1632196800000,2021-09-21 04:00:00,LTC/USD,159.47,162.2,144.62,151.48,46606.7397499,7059988.937314851
1632110400000,2021-09-20 04:00:00,LTC/USD,167.01,168.18,150.22,159.47,86803.8088888,13842603.403496936
1632024000000,2021-09-19 04:00:00,LTC/USD,179.44,181.6,163.5,167.01,31279.3617086,5223966.198953286
1631937600000,2021-09-18 04:00:00,LTC/USD,182.08,185.74,178.43,179.44,21093.1134291,3784948.273717704
1631851200000,2021-09-17 04:00:00,LTC/USD,185.96,190.69,177.66,182.08,29742.3768303,5415491.973261024
1631764800000,2021-09-16 04:00:00,LTC/USD,187.92,195.47,181.68,185.96,37138.8669751,6906343.7026895955
1631678400000,2021-09-15 04:00:00,LTC/USD,181.22,192.58,181.22,187.92,17610.7902559,3309419.7048887275
1631592000000,2021-09-14 04:00:00,LTC/USD,178.47,188.89,176.66,181.22,36771.192394,6663675.4856406795
1631505600000,2021-09-13 04:00:00,LTC/USD,175.54,236.7,170.94,178.47,217704.5985364,38853739.70079131
1631419200000,2021-09-12 04:00:00,LTC/USD,178.68,186.02,175.51,175.54,22136.4767395,3885837.12685183
1631332800000,2021-09-11 04:00:00,LTC/USD,174.8,186.02,173.57,178.68,32252.4584599,5762869.2776149325
1631246400000,2021-09-10 04:00:00,LTC/USD,183.93,184.23,170.81,174.8,62116.0416181,10857884.07484388
1631160000000,2021-09-09 04:00:00,LTC/USD,179.46,188.77,178.15,183.93,79997.9250263,14714018.35008736
1631073600000,2021-09-08 04:00:00,LTC/USD,178.56,183.73,176.29,179.46,30761.4074625,5520442.1832202505
1630987200000,2021-09-07 04:00:00,LTC/USD,219.06,221.38,163.44,178.56,192471.3444399,34367683.26318855
1630900800000,2021-09-06 04:00:00,LTC/USD,224.53,231.76,215.1,219.06,57854.610552,12673630.98752112
1630814400000,2021-09-05 04:00:00,LTC/USD,213.34,232.98,211.19,224.53,69071.6367483,15508654.5990958
